unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status,trend_str,seas_str
ID0,1978-10-31,1394260.0,1269909.1,1371109.1,1126944.2,922653.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1978-11-30,950071.0,1119621.2,1215517.8,1201817.2,848388.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1978-12-31,675046.0,1076746.6,1350779.1,1359885.9,861378.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1979-01-31,2196870.0,1681412.4,1602690.0,1443350.6,1459230.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1979-02-28,1330660.0,1525051.6,1607206.2,1647667.0,1782530.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1979-03-31,894202.0,1580989.0,1437430.5,1609350.8,1331670.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1979-04-30,1972540.0,1404387.9,1568865.2,1505196.5,1672240.0,0,Non-anomalies,Non-stationary,Seasonal
ID0,1979-05-31,1656590.0,1141844.8,1605131.9,1372748.9,1266130.0,0,Non-anomalies,Non-stationary,Seasonal
ID1,1983-12-31,124.18000030517578,125.915085,123.67536,121.712,94.66000366210938,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-01-31,123.83999633789062,131.24945,123.181755,123.304184,97.13999938964844,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-02-29,131.10000610351562,133.41853,121.693474,123.213875,95.16000366210938,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-03-31,125.26000213623048,132.14409,125.96052,119.39763,98.63999938964844,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-04-30,121.0199966430664,128.0622,124.731316,113.22885,98.4499969482422,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-05-31,119.55999755859376,129.38757,123.26823,112.92318,92.1500015258789,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-06-30,119.30999755859376,132.35536,122.88115,119.28496,101.20999908447266,0,Non-anomalies,Stationary,Non-seasonal
ID1,1984-07-31,137.35000610351562,138.95831,126.9047,122.82504,111.45999908447266,0,Non-anomalies,Stationary,Non-seasonal
ID10,1986-02-28,3269.0,3935.125,3798.9727,3901.9128,3001.0,0,Non-anomalies,Non-stationary,Seasonal
ID10,1986-03-31,4905.0,4099.2964,3757.3018,3783.5916,3411.0,1,Anomalies,Non-stationary,Seasonal
ID10,1986-04-30,4340.0,3979.736,3849.59,3794.6436,3512.0,0,Non-anomalies,Non-stationary,Seasonal
ID10,1986-05-31,3525.0,3981.419,3991.3828,3537.2856,2819.0,0,Non-anomalies,Non-stationary,Seasonal
ID10,1986-06-30,5073.0,4442.728,3980.552,3701.3667,3806.0,1,Anomalies,Non-stationary,Seasonal
ID10,1986-07-31,4191.0,4515.2217,4009.1404,4120.3115,3587.0,0,Non-anomalies,Non-stationary,Seasonal
ID10,1986-08-31,4555.0,5079.1396,4294.1006,4497.436,4952.0,0,Non-anomalies,Non-stationary,Seasonal
ID10,1986-09-30,5075.0,4996.365,4302.677,4443.654,3951.0,0,Non-anomalies,Non-stationary,Seasonal
ID100,1982-10-31,14.140000343322754,14.707032,14.299774,14.546608,15.109999656677246,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1982-11-30,13.06999969482422,14.67883,14.530919,14.570085,14.920000076293944,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1982-12-31,14.050000190734863,14.93753,14.60572,14.607181,14.34000015258789,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1983-01-31,14.170000076293944,14.709161,14.517367,14.535366,14.31999969482422,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1983-02-28,14.3100004196167,14.455962,15.058569,14.698697,14.06999969482422,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1983-03-31,14.65999984741211,14.988392,15.656674,14.904003,14.850000381469728,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1983-04-30,14.460000038146973,14.957479,14.32154,14.975523,13.829999923706056,0,Non-anomalies,Non-stationary,Non-seasonal
ID100,1983-05-31,14.81999969482422,15.012729,14.850582,15.041078,15.0,0,Non-anomalies,Non-stationary,Non-seasonal
ID101,1981-05-31,15596.0,14882.312,13982.396,13462.957,16468.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-06-30,15414.0,13067.678,14523.802,13967.582,13971.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-07-31,12970.0,14252.411,13901.706,14748.669,13940.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-08-31,8833.0,11574.182,11704.565,13125.767,7093.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-09-30,15611.0,13015.184,11417.923,11972.961,10332.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-10-31,14041.0,9550.859,12090.831,11643.651,9254.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-11-30,10111.0,13550.538,10912.164,11303.796,8528.0,0,Non-anomalies,Non-stationary,Seasonal
ID101,1981-12-31,9821.0,12477.942,10678.49,11188.257,8530.0,0,Non-anomalies,Non-stationary,Seasonal
ID102,1981-05-31,622.0,541.35626,535.25385,569.6374,656.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-06-30,514.0,541.95074,553.876,577.2448,408.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-07-31,487.0,495.3489,559.8305,574.221,421.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-08-31,338.0,473.7436,517.50604,520.1179,268.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-09-30,368.0,581.635,508.09164,537.12476,510.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-10-31,344.0,480.48148,532.1257,550.70966,427.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-11-30,448.0,532.2844,448.20953,539.3747,297.0,0,Non-anomalies,Stationary,Seasonal
ID102,1981-12-31,530.0,527.7743,473.18082,525.4718,545.0,0,Non-anomalies,Stationary,Seasonal
ID103,1981-10-31,7500.0,7524.431,7760.1904,7729.2334,8802.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1981-11-30,8305.0,7988.305,8132.6704,7897.9077,7921.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1981-12-31,7642.0,8950.222,8180.3994,8422.632,8809.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1982-01-31,6154.0,7083.7886,7239.633,8117.672,6152.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1982-02-28,8350.0,7659.917,7316.5435,8070.407,7343.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1982-03-31,9841.0,6978.5156,7615.657,7850.856,7957.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1982-04-30,8356.0,7780.614,6907.968,7510.0156,6222.0,0,Non-anomalies,Non-stationary,Seasonal
ID103,1982-05-31,7436.0,6321.6367,6558.3003,7189.213,5979.0,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-02-29,272.29998779296875,304.53772,315.99384,307.8614,295.6000061035156,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-03-31,327.79998779296875,305.20578,328.6575,310.9768,288.3999938964844,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-04-30,411.2000122070313,339.99182,323.43765,324.67667,337.3999938964844,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-05-31,308.5,300.0199,320.89673,321.43088,285.5,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-06-30,340.5,310.98187,324.4046,319.91464,277.0,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-07-31,407.2000122070313,355.8962,325.06546,317.48303,350.8999938964844,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-08-31,291.70001220703125,285.2705,303.20474,309.321,259.0,0,Non-anomalies,Non-stationary,Seasonal
ID104,1984-09-30,254.8999938964844,253.89687,315.76694,299.42523,237.5,0,Non-anomalies,Non-stationary,Seasonal
